    year,total,income,capitalvalue,market,yield
    2001,0.1029744,8.3,"4,083,826,193 ",Calgary ,0.120797748
    2001,0.1325298,9.4,"4,046,247,976 ",Montreal ,0.106351187
    2001,0.1094941,7.9,"15,354,876,560 ",Toronto ,0.126501414
    2001,0.0804971,8.8,"5,334,162,588 ",Vancouver ,0.113539984
    2001,0.0902494,10.2,"1,250,033,855 ",Edmonton ,0.098067963
    2001,0.1266928,9.7,"1,953,355,841 ",Ottawa  ,0.1032917
    2002,0.0818269,8.8,"5,229,550,617 ",Calgary ,0.113119357
    2002,0.1014232,9.1,"4,750,962,390 ",Montreal ,0.109797084
    2002,0.0952549,8.4,"17,737,500,331 ",Toronto ,0.118971987
    2002,0.0698568,8.9,"5,525,179,446 ",Vancouver ,0.1118188
    2002,0.1379957,10.2,"1,526,316,508 ",Edmonton ,0.098480447
    2002,0.107166,9.8,"2,303,348,725 ",Ottawa  ,0.101545729
    2003,0.0784373,8.6,"5,558,235,531 ",Calgary ,0.116448326
    2003,0.0650589,8.4,"4,988,900,583 ",Montreal ,0.119052296
    2003,0.0828438,8.0,"17,872,960,319 ",Toronto ,0.125011876
    2003,0.0618679,8.4,"5,659,596,818 ",Vancouver ,0.119176443
    2003,0.0881429,9.2,"1,571,637,542 ",Edmonton ,0.108727443
    2003,0.118039,9.9,"2,145,977,139 ",Ottawa  ,0.10057964
    2004,0.1075695,8.8,"5,176,203,365 ",Calgary ,0.113294677
    2004,0.066616,8.3,"4,597,013,780 ",Montreal ,0.121183772
    2004,0.0701891,7.9,"18,281,182,511 ",Toronto ,0.127131357
    2004,0.104624,8.0,"5,943,050,439 ",Vancouver ,0.125616621
    2004,0.1118469,9.2,"1,892,176,778 ",Edmonton ,0.108326283
    2004,0.1242988,9.0,"2,308,585,686 ",Ottawa  ,0.111083957
    2005,0.2120228,8.5,"6,831,111,940 ",Calgary ,0.118269994
    2005,0.1078793,7.7,"5,889,762,754 ",Montreal ,0.129647204
    2005,0.133279,7.5,"20,939,843,115 ",Toronto ,0.133594288
    2005,0.1483697,7.8,"6,830,836,309 ",Vancouver ,0.128825804
    2005,0.1670678,9.2,"2,199,572,693 ",Edmonton ,0.108744587
    2005,0.164611,8.2,"2,724,372,096 ",Ottawa  ,0.121576852
    2006,0.2987763,7.4,"9,269,812,634 ",Calgary ,0.134685758
    2006,0.1753056,7.0,"6,751,681,388 ",Montreal ,0.142590905
    2006,0.1491663,7.1,"24,485,549,483 ",Toronto ,0.141055462
    2006,0.2354737,7.1,"8,482,414,085 ",Vancouver ,0.140226297
    2006,0.288195,8.0,"2,845,336,917 ",Edmonton ,0.125072229
    2006,0.1549447,7.4,"3,575,996,682 ",Ottawa  ,0.13520365
    2007,0.2409709,6.5,"11,471,906,343 ",Calgary ,0.152940043
    2007,0.1767873,6.5,"8,196,647,129 ",Montreal ,0.152932792
    2007,0.1408107,6.5,"28,521,006,166 ",Toronto ,0.153661524
    2007,0.2312114,6.4,"10,389,779,275 ",Vancouver ,0.156546705
    2007,0.303086,6.8,"4,355,928,798 ",Edmonton ,0.146842016
    2007,0.1385417,7.0,"4,020,449,583 ",Ottawa  ,0.143522678
    2008,0.1488019,6.3,"14,160,952,875 ",Calgary ,0.158402542
    2008,0.1122714,6.1,"9,159,488,778 ",Montreal ,0.162964919
    2008,0.1011896,6.2,"32,047,567,034 ",Toronto ,0.160759298
    2008,0.16884,5.7,"12,036,115,571 ",Vancouver ,0.174652965
    2008,0.2222681,6.0,"5,595,068,026 ",Edmonton ,0.166992581
    2008,0.1259226,6.5,"4,767,551,204 ",Ottawa  ,0.154756838
