Date,"Consumer spending, nominal, LCU - Alcoholic beverages, tobacco and narcotics - Total","Consumer spending, nominal, LCU - Clothing and footwear - Total","Consumer spending, nominal, LCU - Eating out","Consumer spending, nominal, LCU - Communication goods and services - Total","Consumer spending, nominal, LCU - Financial services  not elsewhere classified","Consumer spending, nominal, LCU - Food and non-alcoholic beverages - Total","Consumer spending, nominal, LCU - Furniture and furnishings, carpets and other floor coverings","Consumer spending, nominal, LCU - Health goods and services - Total","Consumer spending, nominal, LCU - Household and garden tools and equipment","Consumer spending, nominal, LCU - Household appliances","Consumer spending, nominal, LCU - Household furnishings, household equipment and other housing expenditure - Total","Consumer spending, nominal, LCU - Household glassware, tableware and household utensils","Consumer spending, nominal, LCU - Housing electricity, gas and other fuels","Consumer spending, nominal, LCU - Housing maintenance and repairs","Consumer spending, nominal, LCU - Housing rent","Consumer spending, nominal, LCU - Imputed housing rent","Consumer spending, nominal, LCU - Medical products, appliances and equipment","Consumer spending, nominal, LCU - Newspapers, books and stationery","Consumer spending, nominal, LCU - Non-alcoholic beverages","Consumer spending, nominal, LCU - Non-personal transport services","Consumer spending, nominal, LCU - Other goods and services - Total","Consumer spending, nominal, LCU - Other recreational and cultural durable goods","Consumer spending, nominal, LCU - Other recreational items and equipment","Consumer spending, nominal, LCU - Personal care goods and services","Consumer spending, nominal, LCU - Personal transport running costs","Consumer spending, nominal, LCU - Recreational and cultural goods and services - Total","Consumer spending, nominal, LCU - Restaurants and hotels  - Total","Consumer spending, nominal, LCU - Routine household maintenance goods and services","Consumer spending, nominal, LCU - Telephone equipment","Consumer spending, nominal, LCU - Telephone services","Consumer spending, nominal, LCU - Total consumer spending","Consumer spending, nominal, LCU - Transport services and vehicle purchases - Total","Consumer spending, nominal, LCU - Vehicle purchases"
1/1/1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/1/1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/1/1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/1/1981,2598,3387,3176,770,1582,6330,1088,1103,356,443,3403,200.5,1608,168,2151,5459,490,490,710,991,4761,387,813,1005,3012,3606,3633,1098.5,4,694,45872,6441,2438
4/1/1981,2658,3407,3300,804,1578,6408,1122,1115,355,484,3521,204.5,1581,171,2234,5647,496,498,719,1078,4901,393,814,1038,3130,3678,3768,1136.5,4,728,46979,6610,2402
7/1/1981,2755,3479,3303,813,1529,6616,1006,1139,353,450,3370,202,1908,170,2281,5752,497,509,743,1124,4947,406,818,1057,3230,3701,3784,1145,4,755,47883,6676,2322
10/1/1981,2883,3536,3327,866,1406,6823,1001,1148,351,462,3400,205.5,1833,170,2361,5936,501,525,766,1113,4973,428,835,1084,3325,3802,3822,1166.5,4,783,48872,6810,2372
1/1/1982,2920,3419,3329,912,1408,6870,948,1248,342,448,3345,203,1999,177,2434,6105,526,536,767,1115,4920,374,876,1110,3419,3825,3840,1188,6,804,49116,6571,2037
4/1/1982,3027,3493,3411,911,1451,7001,929,1280,337,437,3337,206.5,2057,176,2527,6341,543,551,782,1094,5139,358,896,1143,3456,3891,3928,1211.5,6,813,50326,6672,2122
7/1/1982,3138,3530,3463,940,1565,7090,920,1313,344,434,3342,208.5,2148,176,2628,6595,556,559,793,1090,5311,352,900,1162,3564,3947,3968,1220.5,6,839,51416,6727,2073
10/1/1982,3242,3565,3471,970,1702,7134,984,1348,349,462,3479,211.5,1973,181,2701,6777,568,565,798,1107,5684,348,912,1182,3520,3994,3950,1248.5,6,868,52336,6759,2132
1/1/1983,3336,3691,3550,976,1784,7185,999,1386,371,474,3572,217,1934,184,2788,6965,591,587,811,1111,5832,363,938,1218,3584,4135,4032,1272,10,869,53573,6956,2261
4/1/1983,3368,3725,3573,1005,1879,7262,1027,1417,370,500,3644,217.5,2153,183,2832,7085,600,590,820,1106,5893,380,940,1235,3531,4220,4096,1285.5,10,895,54747,7247,2610
7/1/1983,3505,3780,3658,1019,1907,7347,1121,1443,393,550,3873,226,2092,191,2920,7319,618,603,830,1121,6021,413,983,1260,3886,4387,4218,1328,11,904,56432,7689,2682
10/1/1983,3517,3855,3659,1026,1920,7470,1065,1458,387,538,3799,225,2397,192,2949,7429,630,611,844,1199,6176,425,1003,1263,3772,4516,4188,1329,12,910,57594,7978,3007
1/1/1984,3536,3949,3731,1097,1994,7687,1120,1522,393,570,3950,224.5,2293,193,3008,7548,652,622,901,1237,6266,443,1027,1290,3852,4706,4323,1378.5,15,979,59029,8290,3201
4/1/1984,3601,4095,3795,1078,1990,7814,1153,1564,411,588,4045,232,2329,197,3062,7706,672,639,916,1235,6327,459,1065,1315,3972,4808,4354,1393,16,959,60011,8355,3148
7/1/1984,3655,4093,3866,1082,2036,7932,1171,1597,412,592,4078,234,2159,199,3133,7918,687,640,930,1282,6458,463,1073,1338,4021,4849,4425,1399,17,962,60805,8537,3234
10/1/1984,3719,4178,3973,1094,2022,7958,1204,1632,417,608,4160,238,2377,200,3164,8025,708,655,933,1321,6539,461,1088,1377,4038,5001,4571,1420,17,970,62175,8855,3496
1/1/1985,3774,4272,4050,1130,2088,8129,1188,1671,434,611,4182,235,2473,203,3211,8163,715,666,994,1362,6705,496,1096,1433,4297,5073,4673,1440,19,1006,63716,9343,3684
4/1/1985,3897,4361,4150,1154,2303,8135,1212,1725,451,633,4273,239,2369,210,3274,8370,739,681,995,1375,7024,492,1108,1460,4287,5155,4751,1464,20,1028,65137,9712,4050
