Date,CREA Average Residential Sale Price Index,Housing starts,Interest rate on fixed 5-year mortgages [%],"Market value of housing stock, LCU [C$; Millions]"
1/1/1980,33.3,38.64,13.82,635175.4
4/1/1980,35.08,35.52,14.62,672794.9
7/1/1980,35.38,41.66,13.68,682417.8
10/1/1980,35.26,44.54,15.16,684585.2
1/1/1981,37.36,42.89,15.4,730564.1
4/1/1981,39.52,53.12,17.61,778278.3
7/1/1981,39.86,47.01,20.55,788699.4
10/1/1981,39.61,36.99,19.04,785541.3
1/1/1982,39.66,39.09,18.86,788276.6
4/1/1982,39.01,27.36,19.16,777563.1
7/1/1982,38.58,24.4,18.48,772012.1
10/1/1982,38.04,36.43,15.05,764788.7
1/1/1983,37.96,42.2,13.7,766873.2
4/1/1983,37.7,52.06,13.13,765196.2
7/1/1983,37.87,35.05,13.51,771662.4
10/1/1983,37.96,34.79,12.83,775896.8
1/1/1984,38.1,37.66,12.63,781072.9
4/1/1984,38.27,32.43,14.1,787066.1
7/1/1984,38.07,35.32,14.47,786020.9
10/1/1984,37.96,31.27,13.24,787282.1
1/1/1985,38.21,34.97,12.81,795978.3
4/1/1985,38.27,39.34,12.35,800326.8
7/1/1985,38.7,44.23,11.79,813089.8
10/1/1985,39.38,49.11,11.77,831994.4
1/1/1986,40.66,45.66,11.76,863239.7
4/1/1986,41.71,50.63,10.86,889626
7/1/1986,42.94,52.06,11.05,921218.9
10/1/1986,44.84,53.48,11.22,969269.4
1/1/1987,46.92,63,10.5,1021881
4/1/1987,49.25,63.86,10.9,1080162
7/1/1987,49.99,63.91,11.49,1103384
10/1/1987,50.42,57.8,11.67,1119276
1/1/1988,51.13,54.54,11.43,1141698
4/1/1988,53.09,57.17,11.25,1192497
7/1/1988,55,55.53,11.83,1242605
10/1/1988,57.58,57.49,11.9,1308289
1/1/1989,63.01,58.84,12.29,1440180
4/1/1989,58.44,52.07,12.31,1343706
7/1/1989,60.88,52.54,11.79,1406996
10/1/1989,62.99,53.98,11.82,1462227
1/1/1990,60.84,65.58,12.45,1418638
4/1/1990,57.73,51.23,13.97,1352900
7/1/1990,59.57,39.91,13.64,1402038
10/1/1990,58.92,36.04,12.91,1391930
1/1/1991,60.79,29.57,11.72,1441310
4/1/1991,63.99,37.02,11.25,1523308
7/1/1991,61.94,44.11,11.39,1480284
10/1/1991,61.28,44.23,10.27,1470314
1/1/1992,61.08,43.7,9.82,1471436
4/1/1992,62.22,42.3,10.08,1504790
7/1/1992,63.45,43.25,8.84,1540708
10/1/1992,63.9,41.92,9.35,1557596
1/1/1993,63.38,37.28,9.29,1551131
4/1/1993,64.23,38.35,8.88,1577954
7/1/1993,63.98,40.87,8.61,1578048
10/1/1993,63.98,40.63,8.03,1584165
1/1/1994,66.13,37.12,7.47,1643513
4/1/1994,66.06,40.91,9.57,1648102
7/1/1994,66.23,39.18,10.34,1658735
10/1/1994,65.6,34.91,9.98,1649268
1/1/1995,63.64,29.89,10.34,1605884
4/1/1995,61.91,27.02,9.1,1568293
7/1/1995,63.4,27.16,8.81,1612106
10/1/1995,63.03,28.72,8.62,1608729
1/1/1996,61.91,26.42,7.99,1586048
4/1/1996,63.16,31.13,8.48,1624304
7/1/1996,63.58,33.1,8.14,1641006
10/1/1996,63.57,32.97,7.15,1646061
1/1/1997,64.61,35.51,7.11,1678589
4/1/1997,65.05,36.49,7.41,1695767
7/1/1997,65.23,38.49,6.98,1706258
10/1/1997,64.65,36.93,6.77,1697004
1/1/1998,63.97,34.84,6.86,1684641
4/1/1998,63.76,34.73,6.87,1684859
7/1/1998,63.72,33.84,7.1,1689311
10/1/1998,64.36,34.27,6.79,1712130
1/1/1999,64.62,34.38,6.87,1724578
4/1/1999,66.15,37.57,7.02,1771376
7/1/1999,67.04,37.85,7.63,1801202
10/1/1999,67.78,40,8.05,1827003
1/1/2000,68.07,36.79,8.34,1840816
4/1/2000,67.93,36.12,8.36,1842931
7/1/2000,69.17,40.12,8.11,1882796
10/1/2000,69.85,38.95,7.98,1907514
1/1/2001,69.74,38.21,7.43,1910287
4/1/2001,71.12,41.81,7.36,1954008
7/1/2001,72.93,39.53,7.29,2010699
10/1/2001,74.01,43.44,6.63,2048753
1/1/2002,76.86,50.18,6.67,2135818
