Date,Consumer price index,"Consumption, private, real, LCU","Employment, total","GDP, real, LCU","Interest rate, central bank policy","Interest rate, 10-Year Benchmark Bond Yield","Population, total",Unemployment rate,"GDP, real, LCU, Y/Y %Chg"
1/1/1980,42.28,107485,10894.47,210028.3,NA,NA,24398.7,7.57,
4/1/1980,43.44,107049.5,10922.27,209936.5,NA,NA,24478.04,7.73,
7/1/1980,44.64,108870.8,10985.7,209762,NA,NA,24555.34,7.5,
10/1/1980,45.91,109586.5,11116.7,212664.3,NA,NA,24630.59,7.27,
1/1/1981,47.43,109842.5,11256.2,217245.8,NA,NA,24706.43,7.4,0.0343644166
4/1/1981,48.93,109697,11345.77,219687.5,NA,NA,24783.08,7.17,0.04644737814
7/1/1981,50.3,109088.3,11339.63,217715.3,NA,NA,24858.24,7.47,0.03791582842
10/1/1981,51.56,109304.5,11275.87,216718.5,NA,NA,24931.91,8.43,0.01906384852
1/1/1982,52.86,107637.3,11171,214169,NA,NA,25009.55,8.93,-0.01416275942
4/1/1982,54.45,106766.3,11012.9,211690.8,NA,16.39,25087.7,10.4,-0.03640034139
7/1/1982,55.56,106366.8,10845.5,209835.3,NA,13.53,25156.02,12.1,-0.0361940571
10/1/1982,56.51,105995.8,10775.17,207899.3,NA,11.31,25214.5,12.97,-0.04069426468
1/1/1983,56.91,107472.8,10831.4,211377,NA,11.19,25273.63,12.63,-0.01303643384
4/1/1983,57.64,108755.5,10968.83,215531.5,NA,11.29,25336.74,12.4,0.01814297079
7/1/1983,58.59,110038.8,11124.77,217942,NA,11.66,25398,11.67,0.03863363314
10/1/1983,59.09,111215.8,11170.9,220688.5,NA,11.72,25457.43,11.3,0.06151632064
1/1/1984,59.85,112172,11192.8,224485,NA,13,25517.29,11.3,0.0620124233
4/1/1984,60.33,113341,11252.83,228875.8,NA,13.86,25577.9,11.5,0.06191345581
7/1/1984,60.86,113471.5,11359.9,229838.3,NA,12.68,25637.36,11.43,0.05458470602
10/1/1984,61.27,115447.8,11403.03,233480,NA,11.52,25695.67,11.27,0.05796178777
1/1/1985,62.03,116912,11506.5,237027.5,NA,11.9,25752.03,10.8,0.05587233
4/1/1985,62.71,117978.8,11604.07,237783,NA,10.74,25808.9,10.7,0.03891717691
7/1/1985,63.3,120230.3,11705.53,240799.8,NA,10.75,25870.55,10.3,0.04769222536
10/1/1985,63.85,121480.8,11811.17,244495.5,NA,9.63,25936.99,10.23,0.04717962995
1/1/1986,64.64,121339.8,11915.9,244422,NA,9.2,25996.06,9.83,0.03119680206
4/1/1986,65.15,122733.3,12000.73,245811.5,NA,8.91,26053.37,9.6,0.03376397808
7/1/1986,65.93,124439.8,12025.67,246121.8,NA,9.09,26128.93,9.57,0.02210134726
10/1/1986,66.62,124449,12073.77,244344.5,NA,8.74,26222.74,9.43,-0.0006175982789
1/1/1987,67.29,125628,12138.43,249982,NA,8.24,26316.83,9.47,0.02274754318
4/1/1987,68.12,127655.3,12278.2,253210.8,NA,9.31,26403.51,9,0.03010152088
7/1/1987,68.99,128732.3,12381.2,257064.8,NA,10.9,26489.94,8.57,0.04446172586
10/1/1987,69.45,130227.3,12530,260385.8,NA,10.02,26576.13,8.17,0.06565034204
1/1/1988,70.04,131078.5,12635.7,264182,NA,9.61,26650.57,7.9,0.05680408989
4/1/1988,70.9,132931.3,12684.63,266521.8,NA,9.7,26725.38,7.7,0.05256884777
7/1/1988,71.68,133757,12721.6,266546,NA,10.2,26829.15,7.8,0.03688252923
10/1/1988,72.25,135489.5,12803.4,268405,NA,10.17,26961.88,7.7,0.03079737835
1/1/1989,73.17,136471.3,12947.1,271466.8,NA,10.32,27100.83,7.53,0.0275749294
4/1/1989,74.48,138258.8,12967.17,272504.3,NA,9.87,27227.88,7.67,0.0224465691
7/1/1989,75.43,137859.5,13012.8,273479.3,NA,9.41,27340.31,7.37,0.02601164527
10/1/1989,76.05,138758.3,13053.67,272895.5,NA,9.52,27438.1,7.47,0.01673031426
1/1/1990,77.06,140928,13120.8,275468.3,NA,10.31,27541.47,7.63,0.01474029237
4/1/1990,77.88,139351.8,13125.87,274327.5,NA,11.13,27650.64,7.67,0.006690536626
7/1/1990,78.65,139421.3,13101.1,272386.5,NA,10.77,27745.72,8.17,-0.003995914864
10/1/1990,79.8,138971.3,12986.47,269959,NA,10.71,27826.71,9.13,-0.01076052921
1/1/1991,81.98,136189.5,12849.57,266106.5,NA,9.77,27908.61,10.17,-0.03398503566
4/1/1991,82.75,138479.5,12872.3,267347.3,NA,9.67,27996.2,10.33,-0.02544476948
7/1/1991,83.19,138415.3,12868,267705.3,NA,9.73,28081.21,10.43,-0.01718587375
10/1/1991,83.02,139222,12831.47,268199.3,NA,8.67,28163.66,10.33,-0.006518397238
1/1/1992,83.3,139262.5,12768.83,268394.8,NA,8.43,28247.78,10.6,0.008599188671
4/1/1992,83.9,139839.5,12728.27,268722.5,NA,8.52,28332.91,11,0.005143870912
7/1/1992,84.2,140584,12708.77,270165.5,NA,7.51,28413.83,11.53,0.009189956269
10/1/1992,84.53,141101,12713.23,271702.5,7.66,7.8,28490.54,11.73,0.0130619282
1/1/1993,85.1,141852.3,12766.3,273441.3,5.94,7.68,28567,11.13,0.01880252524
4/1/1993,85.37,142374,12761.57,275930.8,4.54,7.49,28645.18,11.63,0.02682432621
7/1/1993,85.67,143312.3,12812.73,278560.5,4.23,7.01,28723.85,11.43,0.03107354566
10/1/1993,86.07,143677.5,12849.2,279763,4.26,6.78,28803.03,11.3,0.02966663906
1/1/1994,85.53,146025.8,12891.5,283885.5,3.84,6.91,28883.4,11.03,0.03819540062
4/1/1994,85.27,146252,12998.23,288034,5.67,8.52,28963.54,10.63,0.04386317149
7/1/1994,85.77,146892,13130.2,291716.3,5.32,8.98,29040.73,10.13,0.0472278015
10/1/1994,86.1,148606.5,13224.57,293844.8,5.19,9.09,29114.98,9.77,0.05033474763
1/1/1995,86.93,148551.3,13274.07,296576,7.51,8.96,29188.67,9.63,0.04470288197
4/1/1995,87.6,149689.8,13270.97,296695.8,7.72,8.1,29263.57,9.5,0.03007214426
7/1/1995,87.77,151323,13303.2,297086.8,6.47,8.1,29339.76,9.43,0.01841001
10/1/1995,87.87,151372.8,13339.6,298304.3,6.03,7.49,29417.25,9.3,0.01517637882
1/1/1996,88.2,153440.5,13383.7,298509.5,5.36,7.31,29495.78,9.5,0.006519408179
4/1/1996,88.83,153732,13414.2,300588,4.8,7.76,29573.75,9.43,0.01311848702
7/1/1996,89,154379.5,13437.13,303185,4.3,7.46,29649.21,9.67,0.0205266609
10/1/1996,89.67,157202.8,13440.03,305626.8,3.23,6.4,29722.14,9.83,0.02454708162
1/1/1997,90.1,159927.3,13547.97,309658.5,3,6.5,29798.96,9.43,0.03734889509
4/1/1997,90.23,161306.3,13632.8,313156.5,3.01,6.55,29876.7,9.3,0.04181304643
7/1/1997,90.53,163412,13782.1,316862.5,3.25,5.94,29944.82,8.87,0.04511271996
10/1/1997,90.57,164529.5,13855.83,319930.8,3.7,5.6,30003.31,8.77,0.04680217834
1/1/1998,91.1,164630.3,13909.63,324449.5,4.59,5.41,30061.97,8.6,0.04776552234
4/1/1998,91.1,166623,13992.27,324622.8,4.75,5.34,30124.54,8.33,0.03661523871
7/1/1998,91.2,167568.3,14102.07,327577.5,5.11,5.38,30186.45,8.2,0.03381592962
10/1/1998,91.6,168070.8,14186.1,332034.8,5.17,4.98,30247.73,8.03,0.03783318143
1/1/1999,91.87,170535.3,14271.8,338057.3,5,5.1,30305.77,7.9,0.04194119578
4/1/1999,92.57,172272,14347.43,340885.3,4.59,5.33,30364.16,7.9,0.05009660443
7/1/1999,93.17,174405.3,14452.4,346219,4.5,5.66,30430.48,7.5,0.05690714411
10/1/1999,93.77,176082.8,14558.47,351089.3,4.63,6.09,30504.73,6.97,0.05738705702
1/1/2000,94.37,177962,14674.13,356705.8,4.95,6.27,30574.8,6.87,0.0551637252
4/1/2000,94.8,179500.8,14735.27,360945.5,5.5,6.02,30641.75,6.67,0.05884736009
7/1/2000,95.67,181804.3,14777.7,364616.3,5.75,5.79,30719.21,6.9,0.05313775385
10/1/2000,96.7,182227.5,14875.57,365240.5,5.75,5.62,30807.16,6.9,0.04030655449
1/1/2001,96.93,183640,14888.97,367175,5.41,5.38,30894.88,7,0.02934967696
4/1/2001,98.2,183980.3,14930.33,368164.5,4.7,5.72,30978.34,7.1,0.02000024935
7/1/2001,98.23,184495.3,14955.83,367919.3,4.12,5.55,31062.63,7.17,0.009058838017
10/1/2001,97.73,186785,14977.63,370159.3,2.74,5.27,31147.76,7.63,0.01346729073
1/1/2002,98.43,189629.8,15060.77,375653.3,2.04,5.44,31237.53,7.93,0.02309062436
4/1/2002,99.5,192080.3,15224.77,377867.3,2.28,5.56,31326.85,7.7,0.02635452359
7/1/2002,100.6,192490.3,15378.73,381137.5,2.71,5.11,31404.74,7.53,0.03592690027
10/1/2002,101.47,194391.8,15470.33,383228.5,2.75,5.06,31471.2,7.57,0.03530696108
1/1/2003,102.77,195242,15585.13,385349,2.83,4.99,31536.48,7.47,0.02581023513
