year,segment,total,income,growth
Dec-99,All,100,100,100
Dec-99,Retail,100,100,100
Dec-99,Office,100,100,100
Dec-99,Industrial,100,100,100
Dec-99,Residential,100,100,100
Dec-99,Calgary,100,100,100
Dec-99,Montreal,100,100,100
Dec-99,Toronto,100,100,100
Dec-99,Vancouver,100,100,100
Dec-99,Edmonton,100,100,100
Dec-99,Ottawa,100,100,100
Mar-00,All,102.4,102.1,100.4
Mar-00,Retail,101.9,102.1,99.8
Mar-00,Office,102.8,102,100.7
Mar-00,Industrial,102.9,102.3,100.6
Mar-00,Residential,102.6,101.8,100.7
Mar-00,Calgary,102,101.9,100.1
Mar-00,Montreal,102.8,102.4,100.5
Mar-00,Toronto,102.1,102,100.2
Mar-00,Vancouver,102.4,102,100.4
Mar-00,Edmonton,100.9,101.9,99
Mar-00,Ottawa,106.6,102.2,104.3
Jun-00,All,104.7,104.2,100.5
Jun-00,Retail,104,104.2,99.8
Jun-00,Office,105.1,104.1,100.9
Jun-00,Industrial,106.2,104.6,101.5
Jun-00,Residential,104.8,103.8,101
Jun-00,Calgary,104,104,100.1
Jun-00,Montreal,105.4,104.8,100.6
Jun-00,Toronto,104.4,104,100.4
Jun-00,Vancouver,104.6,104.1,100.5
Jun-00,Edmonton,103.1,104,99.1
Jun-00,Ottawa,109.6,104.4,105
Sep-00,All,108.1,106.4,101.6
Sep-00,Retail,108.1,106.4,101.6
Sep-00,Office,107.9,106.3,101.5
Sep-00,Industrial,108.9,107,101.9
Sep-00,Residential,107.8,105.9,101.8
Sep-00,Calgary,106.7,106.1,100.6
Sep-00,Montreal,109.3,107.3,101.8
Sep-00,Toronto,107.5,106,101.3
Sep-00,Vancouver,106.5,106.1,100.3
Sep-00,Edmonton,107,106.3,100.6
Sep-00,Ottawa,113.8,106.6,106.8
Dec-00,All,111.9,108.7,102.9
Dec-00,Retail,110.8,108.8,101.8
Dec-00,Office,112.8,108.6,103.9
Dec-00,Industrial,113.6,109.4,103.9
Dec-00,Residential,110.3,107.9,102.2
Dec-00,Calgary,110.8,108.4,102.2
Dec-00,Montreal,115.5,109.9,105.1
Dec-00,Toronto,111.7,108.2,103.3
Dec-00,Vancouver,108.3,108.4,99.9
