year,not_inception_total,income,capitalvalue,segment,yield,total,
2001,0.084,0.088,"15,406,241,993",Retail,0.113636364,0.106,
2001,0.117,0.085,"16,851,401,350",Office,0.117647059,0.095218817,
2001,0.124,0.095,"2,830,546,598",Industrial,0.105263158,0.112,
2001,0.1,0.074,"2,464,594,130",Residential,0.135135135,0.123,
2002,0.091,0.091,"17,177,200,718",Retail,0.10989011,0.101,
2002,0.088,0.09,"20,380,951,266",Office,0.111111111,0.093607431,
2002,0.108,0.097,"3,166,271,572",Industrial,0.103092784,0.103,
2002,0.12,0.075,"2,578,380,602",Residential,0.133333333,0.117,
2003,0.112,0.088,"17,729,819,994",Retail,0.113636364,0.097,
2003,0.061,0.084,"20,172,600,063",Office,0.119047619,0.098438169,
2003,0.114,0.094,"3,087,458,234",Industrial,0.106382979,0.092,
2003,0.068,0.069,"2,962,450,730",Residential,0.144927536,0.116,
2004,0.117,0.086,"17,185,983,091",Retail,0.11627907,0.095,
2004,0.068,0.084,"20,005,630,099",Office,0.119047619,0.102250848,
2004,0.121,0.089,"3,514,096,734",Industrial,0.112359551,0.087,
2004,0.062,0.064,"3,247,753,341",Residential,0.15625,0.117,
2005,0.173,0.079,"21,678,300,603",Retail,0.126582278,0.105,
2005,0.131,0.081,"22,032,541,824",Office,0.12345679,0.114224538,
2005,0.183,0.085,"5,071,176,277",Industrial,0.117647059,0.094,
2005,0.1,0.067,"3,485,809,110",Residential,0.149253731,0.129,
2006,0.203,0.071,"26,766,204,532",Retail,0.14084507,0.117,
2006,0.201,0.074,"27,669,583,425",Office,0.135135135,0.126902232,
2006,0.182,0.075,"6,782,867,499",Industrial,0.133333333,0.110,
2006,0.123,0.064,"3,996,019,808",Residential,0.15625,0.136,
2007,0.166,0.064,"31,634,757,452",Retail,0.15625,0.125,
2007,0.205,0.067,"32,700,988,046",Office,0.149253731,0.131827046,
2007,0.144,0.068,"10,054,409,300",Industrial,0.147058824,0.121,
2007,0.173,0.063,"4,703,841,553",Residential,0.158730159,0.137,
2008,0.112,0.061,"34,392,324,320",Retail,0.163934426,0.125,
2008,0.159,0.064,"37,954,144,035",Office,0.15625,0.129573486,
2008,0.065,0.065,"12,532,445,450",Industrial,0.153846154,0.126,
2008,0.112,0.059,"5,110,412,504",Residential,0.169491525,0.129,
2009,-0.026,0.064,"32,938,104,018",Retail,0.15625,0.109,
2009,-0.015,0.069,"37,108,141,120",Office,0.144927536,0.112556294,
2009,-0.053,0.069,"12,593,138,013",Industrial,0.144927536,0.110,
2009,0.004,0.06,"5,018,977,925",Residential,0.166666667,0.109,
2010,0.102,0.067,"33,121,883,944",Retail,0.149253731,0.104,
2010,0.024,0.071,"36,231,728,569",Office,0.14084507,0.111528865,
2010,0.035,0.072,"10,968,751,214",Industrial,0.138888889,0.102,
2010,0.06,0.061,"5,275,730,087",Residential,0.163934426,0.102,
2011,0.148,0.062,"36,396,615,090",Retail,0.161290323,0.106,
2011,0.135,0.068,"33,833,950,848",Office,0.147058824,0.114549898,
2011,0.122,0.067,"8,931,484,766",Industrial,0.149253731,0.105,
2011,0.097,0.057,"4,263,678,428",Residential,0.175438596,0.103,
2012,0.145,0.057,"40,969,945,071",Retail,0.175438596,0.109,
2012,0.165,0.064,"37,998,290,548",Office,0.15625,0.116870752,
2012,0.114,0.064,"9,643,123,311",Industrial,0.15625,0.109,
2012,0.131,0.056,"6,690,961,180",Residential,0.178571429,0.104,
2013,0.143,0.053,"45,395,152,939",Retail,0.188679245,0.111,
