Date,Vancouver,Calgary,Edmonton,Toronto,Ottawa,Montreal
Q1 2000,,0.051,0.067,0.052,0.06,
Q2 2000,,0.034,0.061,0.047,0.06,
Q3 2000,,0.034,0.061,0.046,0.035,
Q4 2000,,0.034,0.06,0.042,0.031,0.028
Q1 2001,,0.028,0.059,0.043,0.035,0.028
Q2 2001,,0.031,0.058,0.044,0.035,0.055
Q3 2001,,0.039,0.054,0.043,0.052,0.055
Q4 2001,,0.056,0.051,0.044,0.05,0.044
Q1 2002,,0.062,0.045,0.047,0.054,0.047
Q2 2002,,0.053,0.045,0.049,0.032,0.06
Q3 2002,,0.066,0.047,0.05,0.033,0.072
Q4 2002,,0.07,0.046,0.046,0.054,0.066
Q1 2003,,0.058,0.05,0.046,0.059,0.068
Q2 2003,,0.062,0.058,0.045,0.06,0.074
Q3 2003,,0.07,0.054,0.047,0.048,0.083
Q4 2003,,0.058,0.052,0.046,0.047,0.077
Q1 2004,,0.057,0.049,0.047,0.043,0.072
Q2 2004,,0.066,0.048,0.047,0.057,0.073
Q3 2004,,0.054,0.051,0.048,0.071,0.075
Q4 2004,,0.062,0.06,0.043,0.078,0.076
Q1 2005,,0.063,0.057,0.046,0.076,0.075
Q2 2005,,0.054,0.05,0.047,0.069,0.068
Q3 2005,,0.051,0.048,0.048,0.048,0.072
Q4 2005,,0.049,0.053,0.046,0.044,0.075
Q1 2006,,0.038,0.049,0.048,0.038,0.08
Q2 2006,,0.018,0.044,0.046,0.047,0.078
Q3 2006,,0.015,0.024,0.049,0.058,0.076
Q4 2006,,0.017,0.032,0.053,0.06,0.077
Q1 2007,0.042,0.021,0.017,0.052,0.057,0.079
Q2 2007,0.039,0.017,0.017,0.052,0.067,0.077
Q3 2007,0.038,0.017,0.017,0.055,0.059,0.084
Q4 2007,0.037,0.022,0.02,0.056,0.063,0.083
Q1 2008,0.035,0.021,0.022,0.052,0.073,0.084
Q2 2008,0.034,0.025,0.028,0.047,0.069,0.089
Q3 2008,0.037,0.027,0.038,0.048,0.073,0.09
Q4 2008,0.048,0.047,0.039,0.053,0.075,0.088
Q1 2009,0.059,0.05,0.045,0.06,0.06,0.089
Q2 2009,0.074,0.059,0.047,0.069,0.051,0.093
Q3 2009,0.072,0.067,0.052,0.078,0.05,0.095
Q4 2009,0.078,0.062,0.053,0.077,0.054,0.104
Q1 2010,0.08,0.058,0.054,0.077,0.057,0.104
Q2 2010,0.081,0.054,0.055,0.075,0.059,0.101
Q3 2010,0.086,0.05,0.056,0.07,0.054,0.106
Q4 2010,0.079,0.049,0.05,0.065,0.057,0.092
Q1 2011,0.072,0.044,0.042,0.064,0.066,0.1
Q2 2011,0.07,0.044,0.039,0.061,0.064,0.089
Q3 2011,0.074,0.043,0.037,0.055,0.054,0.086
Q4 2011,0.077,0.049,0.032,0.053,0.061,0.087
